feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,label
132.2145055,0.1893551361,1,0,1,0,0,0,0,0,0,0,39.8789836,0.603908611,0
107.9223137,0.7987272907,0,0,0,0,0,0,0,1,0,0,0,0.24392035,1
103.6515296,0.8098557696,0,0,1,0,0,0,0,1,0,0,4.47013902,0.5321512199,1
125.0021672,0.2232099343,1,0,1,0,0,0,0,0,0,0,82.02438662,1.1384127,0
278.1645553,0.08665462167,1,0,0,0,0,1,0,0,0,0,99.02457607,0.6112642507,0
211.7722655,0.02010482681,1,0,1,0,0,0,0,0,0,0,172.5340546,0.4836540343,0
39.43775994,0.9460149501,0,1,0,0,0,0,1,0,0,0,2.064582282,0.3285386626,1
64.45942611,0.662995051,1,0,0,0,0,1,0,0,0,0,19.79898987,0.3798247292,0
406.0208048,0.03211060333,1,0,0,0,0,1,0,1,0,0,72.89551708,0.3792891217,0
31.0109105,0.001468895226,0,0,0,0,0,0,0,0,0,0,0,0,0
51.16853358,7.58E-06,1,0,0,0,1,0,0,0,1,0,2.217355783,0.2484519975,0
0,0.01145432926,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.9126005656,0,0,1,0,0,0,0,0,0,1,0,0,0
280.6619449,0.2279374071,0,0,0,0,0,0,0,0,0,0,164.9815646,1.669926142,0
30.83910534,0.04172847416,0,0,1,0,0,0,0,1,0,0,5.567764363,0.4904569708,0
0,0.01580731197,0,0,0,0,0,0,0,0,0,0,0,0,0
267.6823572,0.7928717923,0,1,0,0,0,0,0,1,0,0,4.471252046,0.2082539629,1
0,0.2847348026,0,0,0,1,0,0,0,0,0,1,0,0,0
161.482785,0.1213427766,0,0,1,0,0,0,0,0,0,0,31.56474827,0.6140510588,0
316.1724148,0.02104819438,0,0,0,0,0,0,0,0,0,0,76.59870801,0.6814847052,0
1.995838152,0.01936487134,0,0,0,0,0,1,0,0,0,0,0.7071067812,0,0
254.7707557,0.002283938218,1,0,0,0,0,0,0,0,0,0,29.4406182,0.8314615106,0
130.2987433,0.1160477809,1,0,1,0,0,0,0,0,0,0,68.80988301,1.09166825,0
354.178206,0.01213166935,1,0,0,0,0,0,0,0,0,0,43.52276151,1.295265095,0
49.36526333,0.02032056642,1,0,1,0,0,0,0,0,0,0,29.8389194,0.7034307463,0
0,0.03440414957,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0.8785793787,0,1,0,0,0,0,0,0,0,1,0,0,1
286.6171222,0.05125469034,1,0,1,0,0,0,0,1,0,0,24.5164138,1.174218264,0
370.05921,0.6082188183,0,1,0,0,0,0,0,0,0,0,9.61051012,0.4795986031,1
170.7934379,0.0004422888798,1,0,0,0,0,0,0,0,1,0,11.35703055,0.8871267752,0
0,0.004828045353,0,0,0,1,0,0,0,0,0,1,0,0,0
150.2634871,0.2440049257,1,0,1,0,0,0,0,0,0,0,46.66904756,0.6548108143,0
379.6323264,1.69E-06,1,0,0,0,1,0,0,0,1,0,1.325651893,0.8017837257,0
366.6452994,0.0790486299,1,0,0,0,0,1,0,0,0,0,44.85532298,0.6678375775,0
370.05921,0.04392457894,1,0,1,0,0,0,0,0,0,0,15.53532222,1.395137207,0
370.05921,0.06348146501,0,1,0,0,0,0,0,0,0,0,1.824600413,0.6091237526,0
369.5735383,1.23E-05,1,0,0,0,1,0,0,0,1,0,1.459166429,0.5773502692,0
337.0446402,0.0220275238,1,0,0,0,0,1,0,0,0,0,45.96194078,0.07767077449,0
310.6785017,0.00130503363,1,0,1,0,0,0,0,0,0,0,87.96590248,1.317027666,0
374.8790077,0.8005734538,0,1,0,0,0,0,1,0,0,0,1.330490315,1.649277332,1
374.8790077,0.1831188853,0,1,0,0,0,0,0,1,0,0,1.836875323,0.1758323648,1
182.7669185,0.003962662085,1,0,0,0,0,0,0,0,0,0,2.121320344,0.7884263223,0
241.5516711,0.01114303137,1,0,0,0,0,0,0,0,0,0,73.13480703,1.114515906,0
42.40100017,0.0168747626,1,0,0,0,0,0,0,0,0,0,19.09188309,0.4705650158,0
0,0.06834453346,0,0,0,1,0,0,0,0,0,1,0,0,0
131.8477526,0.1893551361,1,0,1,0,0,0,0,0,0,0,39.8789836,0.603908611,0
107.6229455,0.7987272907,0,0,0,0,0,0,0,1,0,0,0,0.24392035,1
84.67750987,0.7985651748,0,0,1,0,0,0,0,1,0,0,4.47013902,0.5321512199,1
124.6554207,0.2232099343,1,0,1,0,0,0,0,0,0,0,82.02438662,1.1384127,0
277.3929482,0.08665462167,1,0,0,0,0,1,0,0,0,0,99.02457607,0.6112642507,0
213.1806637,0.02656893667,1,0,1,0,0,0,0,0,0,0,122.8396651,0.5658001479,0
38.5941348,0.9460149501,0,1,0,0,0,0,1,0,0,0,2.064582282,0.3285386626,1
64.28062061,0.662995051,1,0,0,0,0,1,0,0,0,0,19.79898987,0.3798247292,0
